Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
29931,Haz Waste Issue,AUG-16-2013,NOV,Memphis,Shelby,AUG-16-2013,"Worley Auto Buyers, LLC dba B & B Recycled Auto Parts",AUG-08-2013,
29675,Illegal Dumping,OCT-21-2013,Corrected (No NOV),Memphis,Shelby,OCT-21-2013,,JUL-30-2013,
29667,Used Oil,OCT-10-2013,NOV,Memphis,Shelby,OCT-10-2013,Wolfchase Nissan,JUL-29-2013,
29640,Illegal Dumping,SEP-30-2013,NOV,Memphis,Shelby,SEP-30-2013,Walmart Store #950,JUL-17-2013,
29425,Used Oil,JUL-05-2013,NOV,Memphis,Shelby,JUL-05-2013,A & E Towing,JUL-02-2013,
29383,Used Oil,JUL-08-2013,Referred to other Agency/Section,Memphis,Shelby,JUL-08-2013,Vine Street,JUN-28-2013,
29292,Illegal Dumping,JUN-26-2013,No Problem Found,Memphis,Shelby,JUN-26-2013,"Samitized Steel - F. Perlman & Co., Old Landfill Site",JUN-21-2013,
29215,Illegal Dumping,JUN-17-2013,No Problem Found,Memphis,Shelby,JUN-17-2013,"Samitized Steel - F. Perlman & Co., Old Landfill Site",JUN-17-2013,
28986,Illegal Dumping,MAY-29-2013,No Jurisdiction,Memphis,Shelby,MAY-29-2013,Residential Property,MAY-23-2013,
28985,Illegal Dumping,MAY-29-2013,No Jurisdiction,Memphis,Shelby,MAY-29-2013,Residential Property,MAY-23-2013,
28984,Illegal Dumping,MAY-29-2013,No Jurisdiction,Memphis,Shelby,MAY-29-2013,Residential Property,MAY-23-2013,
28809,Haz Waste Issue,MAY-07-2013,NOV,Memphis,Shelby,MAY-07-2013,RockStar Tan and Spa,MAY-06-2013,
28836,Haz Waste Issue,MAY-22-2013,Referred to other Agency/Section,Memphis,Shelby,MAY-22-2013,Automotive painting business ,MAY-01-2013,
28471,Other,APR-09-2013,No Jurisdiction,Memphis,Shelby,APR-09-2013,Boxtown Road,APR-09-2013,
28469,Other,APR-08-2013,No Jurisdiction,Memphis,Shelby,APR-08-2013,Halle Plantation,APR-08-2013,
28364,Other,MAR-27-2013,Referred to other Agency/Section,Memphis,Shelby,MAR-27-2013,,MAR-27-2013,
28323,Used Oil,APR-15-2013,Referred to other Agency/Section,Memphis,Shelby,APR-15-2013,Garage on Residential Property,MAR-15-2013,
28240,Used Oil,MAR-15-2013,Referred to other Agency/Section,Memphis,Shelby,MAR-15-2013,Residential Property,MAR-13-2013,
28228,Used Oil,MAR-12-2013,NOV,Memphis,Shelby,MAR-12-2013,"Beltana Transport, LLC",MAR-11-2013,
28123,Illegal Dumping,MAR-01-2013,Referred to other Agency/Section,Memphis,Shelby,MAR-01-2013,Eaton-Moery ,MAR-01-2013,
28089,Other,MAR-01-2013,No Jurisdiction,Memphis,Shelby,MAR-01-2013,Halle Plantation Subdivision,FEB-25-2013,
28088,Other,MAR-01-2013,No Jurisdiction,Memphis,Shelby,MAR-01-2013,Halle Plantation Subdivision,FEB-21-2013,
28087,Other,MAR-01-2013,No Jurisdiction,Memphis,Shelby,MAR-01-2013,Halle Plantation Subdivision,FEB-18-2013,
27947,Illegal Dumping,FEB-27-2013,No Problem Found,Memphis,Shelby,FEB-27-2013,Kirby/Shelby Drive,FEB-14-2013,
27882,Other,FEB-08-2013,Referred to other Agency/Section,Memphis,Shelby,FEB-08-2013,"Tradebe Treatment and Recycling of Tennessee, LLC",FEB-07-2013,
28083,Other,MAR-01-2013,No Jurisdiction,Memphis,Shelby,MAR-01-2013,Halle Plantation Subdivision,FEB-01-2013,
27768,Haz Waste Issue,FEB-26-2013,Referred to other Agency/Section,Memphis,Shelby,FEB-26-2013,Titan Medical,JAN-29-2013,
27776,Used Oil,FEB-08-2013,No Problem Found,Memphis,Shelby,FEB-08-2013,First  Call Ambulance Service aka Autobody America,JAN-28-2013,
28084,Other,JAN-23-2013,No Jurisdiction,Memphis,Shelby,JAN-23-2013,Creekside Subdivision,JAN-22-2013,
28085,Other,JAN-23-2013,No Jurisdiction,Memphis,Shelby,JAN-23-2013,Halle Plantation Subdivision,JAN-18-2013,
27524,Other,JAN-04-2013,No Jurisdiction,Memphis,Shelby,JAN-04-2013,Halle Plantation Subdivision,JAN-02-2013,
