address,latitude,longitude,geopoint
1196 REBEH CV,35.05515483,-90.1042153,"35.05515483, -90.10421530"
0 DUNN,35.09174519,-90.01394722,"35.09174519, -90.01394722"
725 GOODWYN ST,35.11230564,-89.96400734,"35.11230564, -89.96400734"
3196 ALTA RD,35.06148572,-90.07634871,"35.06148572, -90.07634871"
1014 VOLLINTINE,35.16629911,-90.02334022,"35.16629911, -90.02334022"
3299 MORNINGSIDE ST,35.21564787,-90.03904079,"35.21564787, -90.03904079"
3650 HAZELHEDGE DR,35.04921898,-90.01088573,"35.04921898, -90.01088573"
514 BROCKWOOD AVE,35.00344389,-90.04683365,"35.00344389, -90.04683365"
1494 ELY ST,35.10625204,-90.04177255,"35.10625204, -90.04177255"
3813 LAKEVIEW RD,35.0444519,-90.0412604,"35.04445190, -90.04126040"
5250 COLE RD,35.1227807,-89.88676733,"35.12278070, -89.88676733"
3730 BRIAR ROSE RD,35.09837326,-89.93827253,"35.09837326, -89.93827253"
204 VAAL AVE,35.09861701,-90.06960712,"35.09861701, -90.06960712"
4339 FARONIA RD,35.03012993,-90.02074008,"35.03012993, -90.02074008"
1015 HUDSON ST,35.15983706,-89.9536473,"35.15983706, -89.95364730"
535 ROSEWOOD AVE,35.09484085,-90.04504979,"35.09484085, -90.04504979"
2069 HARBERT AVE,35.12896821,-89.99289763,"35.12896821, -89.99289763"
1437 CATHERINE ST,35.09250468,-89.9567999,"35.09250468, -89.95679990"
4315 PROCTOR DR,35.03054528,-89.94294397,"35.03054528, -89.94294397"
5188 BUCKSPORT LN,35.05239484,-89.89070361,"35.05239484, -89.89070361"
690 BOSTON ST,35.11327085,-89.97369971,"35.11327085, -89.97369971"
2079 KINGS CROSS LN,35.18287424,-89.77799182,"35.18287424, -89.77799182"
1574 WILBEC RD,35.08872138,-89.89322214,"35.08872138, -89.89322214"
3208 REDBUD RD,35.06118549,-90.06659917,"35.06118549, -90.06659917"
45 S REMBERT ST,35.13569127,-89.99611855,"35.13569127, -89.99611855"
4803 COTTONWOOD RD,35.0690009,-89.90363403,"35.06900090, -89.90363403"
5429 WALNUT GROVE RD,35.1307357,-89.88089424,"35.13073570, -89.88089424"
696 S PRESCOTT ST,35.11258341,-89.94870486,"35.11258341, -89.94870486"
5869 BRIERGLEN AVE,35.12703022,-89.86638116,"35.12703022, -89.86638116"
2091 BERRYHILL RD,35.18262868,-89.75868848,"35.18262868, -89.75868848"
3387 S MENDENHALL RD,35.05609544,-89.88642163,"35.05609544, -89.88642163"
2097 MEADOWVIEW LN,35.01431314,-89.99387288,"35.01431314, -89.99387288"
